query_id,query,gold_answer,gold_chunks
Q001,"휴직 중에도 직무급을 받을 수 있나요?","휴직 및 정당하지 않은 사유로 무보직인 경우 지급 대상에서 제외됩니다.","급여규정_0145|급여규정_0154"
Q002,"점심시간은 몇 시부터 몇 시까지인가요?","12시부터 13시까지입니다.","복무규정_0006"
Q003,"1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?","15일입니다.","연차_휴가에_관한_예규_0006"
Q004,"미사용 연차휴가에 대해 수당을 지급하나요?","지급하지 않습니다.","복무규정_0036"
Q005,"1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?","1개월입니다.","연차_휴가에_관한_예규_0005"
Q006,"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?","공간정보 보안담당관이 공석중인 경우에는 차하위자가 그 직무를 대행합니다.","공간정보보안업무예규_0009"
Q007,"항공사진 비공개 기준이 궁금합니다.","일반인의 출입이 통제되는 국가보안시설 및 군사시설(휴전선 접경지역내 시설 포함)이 노출된 사진 및 영상, 3차원 입체자료는 비공개 등급입니다.","공간정보보안업무예규_0065"
Q008,"비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?","비공개 공간정보는 공개하여서는 아니 됩니다. 다만, 공개할 필요성이 있는 경우 공개할 자료의 내용과 공개 목적·시기 및 방법 등에 대해 주무부장관의 승인을 받아야 합니다.","공간정보보안업무예규_0036"
Q009,"안전지출 장소를 변경할 수 있나요?","상황에 따라 공간정보 보안담당관은 안전지출 장소를 변경할 수 있습니다,","공간정보보안업무예규_0069"
Q010,"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?","비공개 또는 공개가 제한되는 공간정보는 기간의 경과 등으로 인하여 비공개 또는 공개제한의 필요성이 없어진 경우에 공개 대상으로 재분류 될 수 있다.","공간정보보안업무예규_0037"
Q011,"사망도 퇴직에 해당되나요?","'퇴직'이란 퇴임, 면직, 사망 또는 해직의 경우를 말합니다. 따라서, 사망도 퇴직에 해당됩니다.","급여규정_0003"
Q012,"강등 또는 정직 처분 기간에는 연봉을 지급하나요?","강등 및 정직 처분 기간에는 연봉월액 전액을 감액합니다.","급여규정_0030"
Q013,"정직은 얼마나 지속되며 그 기간에 연봉은 어떻게 되나요?","정직 기간은 1개월 이상 3개월 이하이며, 해당 기간에는 연봉월액 전액을 감액합니다.","인사규정_0124|급여규정_0030"
Q014,"직원의 초임호봉은 무조건 1호봉인가요?","아니요. 직원의 초임호봉은 원칙적으로 1호봉이지만, 별표 5에 따른 근무경력이 있는 경우에는 해당 경력의 환산율을 적용하여 호봉에 가산할 수 있습니다.","급여규정_0034|급여규정_0104"
Q015,"기능직3등급 13호봉의 급여가 궁금합니다.","직원 봉급액(기능직렬)에 따르면, 3,117,000원입니다.","급여규정_0137"
Q016,"비밀기록물 원본을 생산부서에서 파기하여도 될까요?","아니요. 빌밀(대외비를 포함)기록물 원본은 생산부서에서 파기하여서는 아니되며,다음 각 호의 사유가 발생한 다음 연도 중에 비밀기록물 이관절차에 따라 이관하여야 합니다. 1. 일반문서로 재분류한 경우/2. 예고문에 의하여 비밀보호기간이 만료된 경우/3. 생산 후 30년이 경과한 경우","보안업무예규_0059"
Q017,"2급 비밀의 복제를 제한하려고 합니다. 어떻게 해야하나요?","2급 또는 3급 비밀의 복제/복사를 제한하려는 때에는 그 비밀의 표지 뒷면 또는 예고문 위에 '이 비밀의 는 생산자의 허가없이 복제ㆍ복사할 수 없음'을 붉은색으로 기입하여야 합니다.","보안업무예규_0105"
Q018,"지역본부의 사옥방호책임자는 누가 되나요?","지역본부의 사옥방호책임자는 운영지원처장이 됩니다.","보안업무예규_0113"
Q019,"외부인 출입일지 보관 기간과, 기관이 경과 후 폐기는 마음대로 해도되는지 궁금합니다.","외부인 출입일지와 통제구역 출입대장은 2년간 보관하며, 연장하거나 폐기할 경우에는 기록물 관리부서와 미리 협의하여야 합니다.","보안업무예규_0126"
Q020,"보안담당관은 보안감사결과를 누구에게 보고해야하나요?","보안담당관은 보안감사결과를 주무부장관에게 보고하고 국가정보원장에게 통보하여야 합니다.","보안업무예규_0165"
Q021,"직원 신규채용시, 수습기간이 어떻게 되나요?","직원을 신규채용하는 경우에는 3개월의 수습기간을 둡니다. 다만, 인사운영상 불가피한 경우와 채용형인턴을 통해 입사하거나 해당분야 경력을 인정받아 채용되는 자는 수습기간을 두지 아니하거나 그 기간을 단축할 수 있습니다.","인사규정_0039"
Q022,"파견 근무는 언제 가능한가요?","공사의 업무수행 또는 이와 관련한 업무지원을 위하여 필요한 경우 / 2. 국내·외 장기연수 또는 교육훈련이 필요한 경우 / 3. 국제기구 파견 또는 해외사업 수행을 위하여 외국에서 근무가 필요한 경우에는 사장이 직원을 파견 근무하게 할 수 있습니다.","인사규정_0066"
Q023,"출산휴가와 육아휴직을 연계하여 사용할 수 있나요?","여성직원은 출산휴가와 육아휴직을 연계하여 동시에 신청할 수 있습니다.","인사규정_0091"
Q024,"강등당하면 신분도 없어지나요?","아니요. 강등은 1계급 아래로 직급을 내리고 신분은 보유하나 3개월간 직무에 종사하지 못합니다.","인사규정_0124"
Q025,"기능직 4등급의 승진소요 최저년수가 궁금합니다.","기능직의 승진소요년수는 1년 6개월입니다. 또한, 지적직 공무원의 경력은 입사 6개월 경과 후 통산합니다.","인사규정_0184"
Q026,"공간정보 데이터베이스를 운영할 때 어떤 보호대책을 마련해야 하나요?","보안관리 책임자 지정, 보관시설 출입통제, 복제본 관리대장 비치, 자료별 접근권한 구분, 비공개·공개제한 자료목록과 무단 열람·복제 여부 관리, 해킹·컴퓨터바이러스 예방대책 등을 마련해야 합니다.","공간정보보안업무예규_0019"
Q027,"비공개 또는 공개제한 공간정보를 외주용역으로 처리하려면 사전에 무엇을 해야 하나요?","계약서에 비밀준수 및 공간정보 보호 의무와 위반 시 조치를 명시하고, 참여인원의 신원확인·보안서약·교육, 작업장 통제, 용역 종료 시 성과물과 제공자료 회수 등의 보안대책을 마련한 뒤 공간정보 보안담당관의 사전검토를 받아야 합니다.","공간정보보안업무예규_0025"
Q028,"외국인에게 공간정보 관련 업무를 맡길 때 필요한 보안조치는 무엇인가요?","신원 확인과 신상기록부 작성·유지, 보안교육 및 서약, 계약서에 기밀 누설·유출 시 해고와 손해배상 책임 명시, 중요 공간정보 취급 및 보호구역 출입 차단 대책을 마련해야 합니다.","공간정보보안업무예규_0032"
Q029,"공간정보 보안교육은 얼마나 자주 실시해야 하나요?","공간정보 보안담당관은 보안교육계획을 수립하여 연 1회 이상 교육을 실시해야 하며, 필요하면 수시교육도 실시할 수 있습니다. 또한 공간정보업무 취급자를 대상으로 연 1회 이상 공간정보 보안교육을 실시해야 합니다.","공간정보보안업무예규_0054|공간정보보안업무예규_0056"
Q030,"공간정보 보안사고 조사가 진행 중일 때 사고 내용을 공개해도 되나요?","아니요. 공간정보 보안담당관은 보안조사에 필요한 자료 제공 등에 협조하고, 조사가 끝날 때까지 관련 내용을 공개해서는 안 됩니다.","공간정보보안업무예규_0058"
Q031,"자격수당과 직무수당, 박사수당을 동시에 받을 수 있나요?","아니요. 자격수당·직무수당·박사수당이 서로 중복되는 경우에는 본인에게 유리한 하나의 수당만 지급합니다.","급여규정_0007"
Q032,"5년 이상 근무한 직원이 그달에 15일 이상 근무하고 퇴직하면 해당 월 보수는 어떻게 지급되나요?","해당 월분 보수 전액을 지급합니다.","급여규정_0018"
Q033,"본직 외에 다른 직을 겸직하면 겸직에 대한 보수를 별도로 받을 수 있나요?","아니요. 임직원이 본직 이외의 직을 겸직해도 겸직에 대한 보수는 지급하지 않습니다.","급여규정_0028"
Q034,"퇴직했던 직원이 다시 임용되면 호봉은 어떻게 정하나요?","퇴직 당시의 호봉으로 정합니다.","급여규정_0035"
Q035,"재직기간이 1년 미만인 직원도 퇴직금을 받을 수 있나요?","아니요. 연봉대상자와 직원의 재직기간이 1년 미만이면 퇴직금을 지급하지 않습니다.","급여규정_0073"
Q036,"사이버·보안 진단의 날은 언제인가요?","매월 세 번째 수요일입니다. 이날 PC 보안 취약점, 보조기억매체 관리현황, 비밀 전수조사, 비밀 안전반출·긴급파기계획 등을 점검합니다.","보안업무예규_0021"
Q037,"비밀취급인가증을 분실했을 때 재발급을 받으려면 어떤 서류가 필요한가요?","분실 또는 멸실 사유서, 사진 2매, 비밀취급인가증 재발급 신청서를 첨부해야 합니다. 훼손으로 재발급하는 경우에는 훼손된 인가증도 제출해야 합니다.","보안업무예규_0044"
Q038,"공무상 비밀을 시설 밖으로 가져가야 할 때 어떤 절차가 필요한가요?","원칙적으로 비밀은 보관시설 밖으로 반출할 수 없습니다. 공무상 부득이한 경우에는 사전에 사장의 승인을 받고, 비밀·대외비 반출승인서를 비밀보관책임자에게 제출한 뒤 비밀과 교환하여 반출해야 합니다.","보안업무예규_0092|보안업무예규_0094"
Q039,"사옥의 방화진단과 방화훈련은 얼마나 자주 실시해야 하나요?","사옥방호책임자는 방화진단을 분기별로 실시하고, 방화훈련은 연 1회 이상 실시해야 합니다.","보안업무예규_0115"
Q040,"비밀을 휴대하고 출장 중 보안사고가 발생하면 가장 먼저 어디에 신고해야 하나요?","먼저 경찰관서에 신고한 뒤 사고의 일시, 장소, 내용을 가장 신속한 방법으로 보안담당관에게 보고해야 합니다.","보안업무예규_0167"
Q041,"직원의 임용일자를 과거로 소급할 수 있나요?","원칙적으로 소급 임용할 수 없습니다. 다만 사망일을 임용일자로 하여 면직하거나 사망 전일을 임용일자로 하여 추서하는 경우, 형사사건 기소일을 임용일자로 하여 직위해제하는 경우에는 예외입니다.","인사규정_0026"
Q042,"인사관리나 근로조건에 관한 고충은 어디에 심사를 요청할 수 있나요?","직원은 고충처리기관 또는 고충처리위원회에 인사상담이나 고충 심사를 청구할 수 있습니다.","인사규정_0113"
Q043,"해고 사실을 30일 전에 예고하지 않으면 어떻게 되나요?","원칙적으로 30일분 이상의 통상임금을 지급해야 합니다. 다만 천재지변 등으로 공사의 계속 운영이 불가능한 경우, 직원의 고의로 막대한 업무 지장이나 재산상 손해가 발생한 경우 중 고용노동부령으로 정하는 사유, 계속 근로기간이 3개월 미만인 경우에는 예외입니다.","인사규정_0087"
Q044,"육아휴직은 자녀 한 명당 얼마나 사용할 수 있나요?","자녀 1명에 대하여 3년 이내로 사용할 수 있습니다. 관련 법률의 추가 사용 요건에 해당하면 6개월 이내에서 추가로 사용할 수 있습니다.","인사규정_0094"
Q045,"징계사유가 발생한 뒤 징계를 요구할 수 있는 기간은 얼마나 되나요?","원칙적으로 징계사유 발생일부터 3년입니다. 다만 금품·향응 수수, 공금 횡령·유용, 채용비리는 5년이고, 성폭력·성희롱·성매매는 10년입니다.","인사규정_0146"
Q046,"지각이나 조퇴가 쌓이면 연차에서 차감되나요?","지각 및 조퇴는 연간 합산하여 누계 8시간이 되면 연차휴가 1일로 산정됩니다.","복무규정_0016"
Q047,"병가를 며칠 이상 사용하면 진단서가 필요한가요?","병가 일수가 연간 6일을 초과하는 경우에는 의사의 진단서를 제출해야 합니다.","복무규정_0039"
Q048,"승진하려면 교육훈련시간을 꼭 채워야 하나요?","네. 직급별로 규정된 교육훈련시간을 이수하지 못한 직원에 대해서는 승진후보자 명부를 작성하지 않습니다. 또한 직급별 기본필수 교육과정을 이수하지 못한 3급 이하 직원에 대해서도 명부를 작성하지 않으며, 다만 시험으로 승진하는 경우에는 기본필수 교육과정 이수가 예외입니다.","승진임용규칙_0009"
Q049,"승진후보자 점수가 같으면 누가 우선순위가 되나요?","평정점이 동일한 경우 역량평가점수 또는 근무성적평정점이 우수한 직원이 우선하며, 그다음으로 해당 직급에서 장기 근무한 직원이 우선합니다.","승진임용규칙_0052"
