query_id,Hit,P,R,MRR,query
Q001,1,0.14285714285714285,0.5,0.3333333333333333,휴직 중에도 직무급을 받을 수 있나요?
Q002,1,0.14285714285714285,1.0,1.0,점심시간은 몇 시부터 몇 시까지인가요?
Q003,1,0.14285714285714285,1.0,1.0,1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?
Q004,1,0.14285714285714285,1.0,1.0,미사용 연차휴가에 대해 수당을 지급하나요?
Q005,1,0.14285714285714285,1.0,1.0,1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?
Q006,1,0.14285714285714285,1.0,1.0,"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?"
Q007,1,0.14285714285714285,1.0,0.2,항공사진 비공개 기준이 궁금합니다.
Q008,1,0.14285714285714285,1.0,1.0,비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?
Q009,0,0.0,0.0,0.0,안전지출 장소를 변경할 수 있나요?
Q010,1,0.14285714285714285,1.0,1.0,"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?"
Q011,0,0.0,0.0,0.0,사망도 퇴직에 해당되나요?
Q012,0,0.0,0.0,0.0,강등 또는 정직 처분 기간에는 연봉을 지급하나요?
Q013,0,0.0,0.0,0.0,정직은 얼마나 지속되며 그 기간에 연봉은 어떻게 되나요?
Q014,1,0.14285714285714285,0.5,1.0,직원의 초임호봉은 무조건 1호봉인가요?
Q015,1,0.14285714285714285,1.0,1.0,기능직3등급 13호봉의 급여가 궁금합니다.
Q016,1,0.14285714285714285,1.0,1.0,비밀기록물 원본을 생산부서에서 파기하여도 될까요?
Q017,1,0.14285714285714285,1.0,0.16666666666666666,2급 비밀의 복제를 제한하려고 합니다. 어떻게 해야하나요?
Q018,1,0.14285714285714285,1.0,0.5,지역본부의 사옥방호책임자는 누가 되나요?
Q019,1,0.14285714285714285,1.0,1.0,"외부인 출입일지 보관 기간과, 기관이 경과 후 폐기는 마음대로 해도되는지 궁금합니다."
Q020,1,0.14285714285714285,1.0,1.0,보안담당관은 보안감사결과를 누구에게 보고해야하나요?
Q021,1,0.14285714285714285,1.0,1.0,"직원 신규채용시, 수습기간이 어떻게 되나요?"
Q022,1,0.14285714285714285,1.0,1.0,파견 근무는 언제 가능한가요?
Q023,1,0.14285714285714285,1.0,1.0,출산휴가와 육아휴직을 연계하여 사용할 수 있나요?
Q024,1,0.14285714285714285,1.0,0.3333333333333333,강등당하면 신분도 없어지나요?
Q025,0,0.0,0.0,0.0,기능직 4등급의 승진소요 최저년수가 궁금합니다.
Q026,1,0.14285714285714285,1.0,0.5,공간정보 데이터베이스를 운영할 때 어떤 보호대책을 마련해야 하나요?
Q027,1,0.14285714285714285,1.0,1.0,비공개 또는 공개제한 공간정보를 외주용역으로 처리하려면 사전에 무엇을 해야 하나요?
Q028,1,0.14285714285714285,1.0,1.0,외국인에게 공간정보 관련 업무를 맡길 때 필요한 보안조치는 무엇인가요?
Q029,1,0.2857142857142857,1.0,1.0,공간정보 보안교육은 얼마나 자주 실시해야 하나요?
Q030,1,0.14285714285714285,1.0,0.5,공간정보 보안사고 조사가 진행 중일 때 사고 내용을 공개해도 되나요?
Q031,1,0.14285714285714285,1.0,1.0,"자격수당과 직무수당, 박사수당을 동시에 받을 수 있나요?"
Q032,0,0.0,0.0,0.0,5년 이상 근무한 직원이 그달에 15일 이상 근무하고 퇴직하면 해당 월 보수는 어떻게 지급되나요?
Q033,1,0.14285714285714285,1.0,1.0,본직 외에 다른 직을 겸직하면 겸직에 대한 보수를 별도로 받을 수 있나요?
Q034,1,0.14285714285714285,1.0,0.25,퇴직했던 직원이 다시 임용되면 호봉은 어떻게 정하나요?
Q035,1,0.14285714285714285,1.0,0.5,재직기간이 1년 미만인 직원도 퇴직금을 받을 수 있나요?
Q036,1,0.14285714285714285,1.0,1.0,사이버·보안 진단의 날은 언제인가요?
Q037,1,0.14285714285714285,1.0,1.0,비밀취급인가증을 분실했을 때 재발급을 받으려면 어떤 서류가 필요한가요?
Q038,1,0.2857142857142857,1.0,1.0,공무상 비밀을 시설 밖으로 가져가야 할 때 어떤 절차가 필요한가요?
Q039,1,0.14285714285714285,1.0,1.0,사옥의 방화진단과 방화훈련은 얼마나 자주 실시해야 하나요?
Q040,1,0.14285714285714285,1.0,1.0,비밀을 휴대하고 출장 중 보안사고가 발생하면 가장 먼저 어디에 신고해야 하나요?
Q041,1,0.14285714285714285,1.0,1.0,직원의 임용일자를 과거로 소급할 수 있나요?
Q042,1,0.14285714285714285,1.0,1.0,인사관리나 근로조건에 관한 고충은 어디에 심사를 요청할 수 있나요?
Q043,1,0.14285714285714285,1.0,1.0,해고 사실을 30일 전에 예고하지 않으면 어떻게 되나요?
