문서,페이지,종류,내용
공간정보보안업무예규.json,1,heading1,<h1 id='0' style='font-size:22px'>공간정보 보안업무예규</h1>
공간정보보안업무예규.json,1,table,<table id='1' style='font-size:14px'><thead></thead><tbody><tr><td>제정</td><td>2019-04-30</td></tr><tr><td>제1차 개정</td><td>2020-01-06</td></tr><tr><td>제2차 개정</td><td>2021-01-06</td></tr><tr><td>제3차</td><td>개정 2022-01-24</td></tr><tr><td>제4차</td><td>개정 2025-01-16</td></tr><tr><td>제5차</td><td>개정 2026-07-01</td></tr></tbody></table>
공간정보보안업무예규.json,1,heading1,<h1 id='2' style='font-size:16px'>제1장 총칙</h1>
공간정보보안업무예규.json,1,paragraph,"<p id='3' data-category='paragraph' style='font-size:18px'>제1조(목적) 이 예규는 「국가공간정보 기본법」 , 국가정보원의 「국가 정보보안 기본지<br>침」 , 「국토교통부 국가공간정보 보안관리규정」 , 「공간정보업무규정」 제9조에 따라 한<br>국국토정보공사의 공간정보 보안 업무 수행에 필요한 세부사항을 규정함을 목적으로 한<br>다.</p>"
공간정보보안업무예규.json,1,heading1,<br><h1 id='4' style='font-size:16px'>&lt;조 개정 2025.01.16&gt;</h1>
공간정보보안업무예규.json,1,paragraph,<br><p id='5' data-category='paragraph' style='font-size:20px'>제2조(정의) &#34;공간정보 보안&#34;이란 「국가공간정보 기본법」 제2조제1호에 따른 공간정보<br>의 구축·관리 및 활용에서 공개가 제한되는 공간정보에 대한 부당한 접근과 이용 또는<br>유출을 방지하기 위한 일체의 행위를 말한다.</p>
공간정보보안업무예규.json,1,heading1,<br><h1 id='6' style='font-size:16px'>&lt;조 개정 2025.01.16&gt;</h1>
공간정보보안업무예규.json,1,paragraph,"<br><p id='7' data-category='paragraph' style='font-size:20px'>제3조(적용범위) 이 예규는 공간정보를 생산·구축·관리·유통 및 활용하는 공사와 그 소관<br>업무를 수행하는 외부인(용역사업 수행 업체, 퇴직인 등)에 적용한다.</p>"
공간정보보안업무예규.json,1,paragraph,<br><p id='8' data-category='paragraph' style='font-size:20px'>&lt;조 개정 2025.01.16&gt;<br>제4조(다른 법령과의 관계) 이 예규에 명시되지 않은 사항은 다음 각 호의 법규를 따른<br>다.</p>
공간정보보안업무예규.json,1,paragraph,<br><p id='9' data-category='paragraph' style='font-size:18px'>1. 「국가정보원법」<br>2. 「공공기록물 관리에 관한 법률 시행령」<br>3. 그 밖의 관계 법규</p>
공간정보보안업무예규.json,1,paragraph,<br><p id='10' data-category='paragraph' style='font-size:16px'>&lt;조 개정 2025.01.16&gt;</p>
공간정보보안업무예규.json,1,heading1,<h1 id='11' style='font-size:14px'>제2장 공간정보 보안 관리체계</h1>
공간정보보안업무예규.json,1,paragraph,<p id='12' data-category='paragraph' style='font-size:20px'>제5조(운영체계) ① 공간정보 보안의 최고책임자는 기획혁신본부장이 된다.</p>
공간정보보안업무예규.json,1,paragraph,"<br><p id='13' data-category='paragraph' style='font-size:20px'>② 공간정보 보안담당관은 AI디지털전략실장이 되며, 다음 각 호에 해당하는 자를 분임<br>공간정보 보안담당관으로 한다.</p>"
공간정보보안업무예규.json,1,paragraph,"<br><p id='14' data-category='paragraph' style='font-size:20px'>1. 본사, 부설기관 및 지역본부: 각 실·처·장</p>"
공간정보보안업무예규.json,2,paragraph,<p id='15' data-category='paragraph' style='font-size:16px'>2. 지사: 각 지사장</p>
