query_id,query,gold_answer,gold_chunks
Q001,"휴직 중에도 직무급을 받을 수 있나요?","휴직 및 정당하지 않은 사유로 무보직인 경우 지급 대상에서 제외됩니다.","급여규정_0145|급여규정_0154"
Q002,"점심시간은 몇 시부터 몇 시까지인가요?","12시부터 13시까지입니다.","복무규정_0006"
Q003,"1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?","15일입니다.","연차_휴가에_관한_예규_0006"
Q004,"미사용 연차휴가에 대해 수당을 지급하나요?","지급하지 않습니다.","복무규정_0036"
Q005,"1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?","1개월입니다.","연차_휴가에_관한_예규_0005"
Q006,"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?","공간정보 보안담당관이 공석중인 경우에는 차하위자가 그 직무를 대행합니다.","공간정보보안업무예규_0009"
Q007,"항공사진 비공개 기준이 궁금합니다.","일반인의 출입이 통제되는 국가보안시설 및 군사시설(휴전선 접경지역내 시설 포함)이 노출된 사진 및 영상, 3차원 입체자료는 비공개 등급입니다.","공간정보보안업무예규_0065"
Q008,"비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?","비공개 공간정보는 공개하여서는 아니 됩니다. 다만, 공개할 필요성이 있는 경우 공개할 자료의 내용과 공개 목적·시기 및 방법 등에 대해 주무부장관의 승인을 받아야 합니다.","공간정보보안업무예규_0036"
Q009,"안전지출 장소를 변경할 수 있나요?","상황에 따라 공간정보 보안담당관은 안전지출 장소를 변경할 수 있습니다,","공간정보보안업무예규_0069"
Q010,"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?","비공개 또는 공개가 제한되는 공간정보는 기간의 경과 등으로 인하여 비공개 또는 공개제한의 필요성이 없어진 경우에 공개 대상으로 재분류 될 수 있다.","공간정보보안업무예규_0037"
