질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
휴직 중에도 직무급을 받을 수 있나요?,,"핵심: 원칙적으로 휴직 중에는 직무급이 지급되지 않습니다. 근거: 급여규정 별표(비고)에 ‘직무급 지급 제외: 휴직 및 정당하지 않은 사유로 직무를 수행하지 못하는 경우’로 규정되어 있으며, 특히 인사규정 제39조에 따른 휴직에 해당하는 경우에 적용된다고 명시되어 있습니다. 적용대상으로는 일반직·기능직·보조직 및 4급 이하 연봉제 직원(연구직·전문경력직·업무직 포함)이 명시되어 있습니다. 귀하의 직군이나 구체적 사유에 따라 예외가 있을 수 있으니(문서에 명시된 해당 대상 외의 경우) 추가 확인이 필요하면 소속 직군·휴직 사유를 알려주십시오.",,급여규정_0154|급여규정_0155|인사규정_0089|인사규정_0090,"인사규정 제39조 [인사규정_0089]
급여규정 별표 7 - 명예퇴직금 지급액 산정표 (제35조제2항 관련) [급여규정_0154]","1. 급여규정_0112 (급여규정)
2. 인사규정_0089 (인사규정)
3. 급여규정_0154 (급여규정)
4. 인사규정_0090 (인사규정)
5. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)","급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0091 (chunk_no=91)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)",4.832,27.473,32.307
점심시간은 몇 시부터 몇 시까지인가요?,,점심시간은 12시부터 13시까지입니다.,,복무규정_0006,복무규정 제4조 [복무규정_0006],"1. 복무규정_0006 (복무규정)
2. 여비규정_0034 (여비규정)
3. 연차_휴가에_관한_예규_0024 (연차_휴가에_관한_예규)
4. 연차_휴가에_관한_예규_0010 (연차_휴가에_관한_예규)
5. 복무규정_0013 (복무규정)","복무규정_0005 (chunk_no=5)
복무규정_0006 (chunk_no=6)
복무규정_0007 (chunk_no=7)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
연차_휴가에_관한_예규_0023 (chunk_no=23)
연차_휴가에_관한_예규_0024 (chunk_no=24)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0009 (chunk_no=9)
연차_휴가에_관한_예규_0010 (chunk_no=10)
연차_휴가에_관한_예규_0011 (chunk_no=11)
복무규정_0012 (chunk_no=12)
복무규정_0013 (chunk_no=13)
복무규정_0014 (chunk_no=14)",3.652,2.691,6.347
1년 이상 근무하고 출근율이 80% 이상이면 연차휴가는 며칠인가요?,,"기본적으로 연차휴가는 15일입니다. 다만 제공된 문서들에 표현 차이가 있어(어떤 조문은 ""1년간 80퍼센트 이상 출근한 자에게 15일을 부여""라고 하고, 다른 조문은 ""계속근로연수가 1년을 초과하는 경우""라고 규정함) 정확히 ""1년 이상(정확히 1년 포함)""을 어떻게 해석할지는 문서 간 충돌로 인해 규정 담당 부서에 확인이 필요합니다.",,연차_휴가에_관한_예규_0006|연차_휴가에_관한_예규_0003|복무규정_0031,"연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0006]
연차_휴가에_관한_예규 제3조 [연차_휴가에_관한_예규_0003]
복무규정 제14조 [복무규정_0031]","1. 연차_휴가에_관한_예규_0006 (연차_휴가에_관한_예규)
2. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0003 (연차_휴가에_관한_예규)
4. 복무규정_0031 (복무규정)
5. 복무규정_0032 (복무규정)","연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0002 (chunk_no=2)
연차_휴가에_관한_예규_0003 (chunk_no=3)
복무규정_0030 (chunk_no=30)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)",3.629,14.153,17.785
미사용 연차휴가에 대해 수당을 지급하나요?,,"일반적으로 미사용 연차휴가는 수당으로 지급하지 않습니다. (복무규정 제15조에 따라 연차를 사용하지 아니한 경우 수당으로 지급하지 않음) 또한 저축된 연차휴가도 사용하지 않을 경우 보상하지 않습니다. 다만, 퇴직 시에는 예외적으로 입사일 기준 연차유급일수가 회계연도 기준 연차유급일수보다 많아 부족한 일수가 발생하는 경우에는 그 부족일수만큼 수당으로 보상합니다.",,복무규정_0036|연차_휴가에_관한_예규_0025|연차_휴가에_관한_예규_0026,"복무규정 제15조 [복무규정_0036]
연차_휴가에_관한_예규 제8조 [연차_휴가에_관한_예규_0025]","1. 복무규정_0036 (복무규정)
2. 연차_휴가에_관한_예규_0026 (연차_휴가에_관한_예규)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)","복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
복무규정_0037 (chunk_no=37)
연차_휴가에_관한_예규_0025 (chunk_no=25)
연차_휴가에_관한_예규_0026 (chunk_no=26)
연차_휴가에_관한_예규_0027 (chunk_no=27)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)",3.855,12.132,15.989
1년 미만 근무자는 몇 개월 개근 시 연차휴가 1일을 받나요?,,1개월 개근 시 연차휴가 1일을 부여합니다.,,연차_휴가에_관한_예규_0005|복무규정_0032,"연차_휴가에_관한_예규 제4조 [연차_휴가에_관한_예규_0005]
복무규정 제14조 [복무규정_0032]","1. 연차_휴가에_관한_예규_0005 (연차_휴가에_관한_예규)
2. 복무규정_0032 (복무규정)
3. 연차_휴가에_관한_예규_0013 (연차_휴가에_관한_예규)
4. 복무규정_0035 (복무규정)
5. 급여규정_0074 (급여규정)","연차_휴가에_관한_예규_0004 (chunk_no=4)
연차_휴가에_관한_예규_0005 (chunk_no=5)
연차_휴가에_관한_예규_0006 (chunk_no=6)
복무규정_0031 (chunk_no=31)
복무규정_0032 (chunk_no=32)
복무규정_0033 (chunk_no=33)
연차_휴가에_관한_예규_0012 (chunk_no=12)
연차_휴가에_관한_예규_0013 (chunk_no=13)
연차_휴가에_관한_예규_0014 (chunk_no=14)
복무규정_0034 (chunk_no=34)
복무규정_0035 (chunk_no=35)
복무규정_0036 (chunk_no=36)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)",3.589,6.316,9.907
"공간정보 보안담당관이 공석인데, 그 직무는 누가하나요?",,"핵심: 규정(제6조 제2항)에 따라 공간정보 보안담당관이 공석인 경우 차하위자가 그 직무를 대행합니다.

보충: 또한 제5조제2항은 분임공간정보 보안담당관을 본사·부설기관·지역본부의 각 실·처·장 및 지사의 각 지사장으로 정하고, 제5조제3항은 이들 분임담당관이 공간정보 보안담당관의 지휘·감독 하에 해당 범위에서 임무를 수행할 수 있다고 규정하고 있으므로, 구체적으로 누가 대행하는지는 조직의 직위 및 분임 지정에 따라 확인해야 합니다.",,공간정보보안업무예규_0009|공간정보보안업무예규_0006|공간정보보안업무예규_0007,"공간정보보안업무예규 제6조 [공간정보보안업무예규_0009]
공간정보보안업무예규 제5조 [공간정보보안업무예규_0006]","1. 공간정보보안업무예규_0009 (공간정보보안업무예규)
2. 공간정보보안업무예규_0006 (공간정보보안업무예규)
3. 공간정보보안업무예규_0007 (공간정보보안업무예규)
4. 공간정보보안업무예규_0033 (공간정보보안업무예규)
5. 공간정보보안업무예규_0053 (공간정보보안업무예규)","공간정보보안업무예규_0008 (chunk_no=8)
공간정보보안업무예규_0009 (chunk_no=9)
공간정보보안업무예규_0010 (chunk_no=10)
공간정보보안업무예규_0005 (chunk_no=5)
공간정보보안업무예규_0006 (chunk_no=6)
공간정보보안업무예규_0007 (chunk_no=7)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0052 (chunk_no=52)
공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)",3.443,15.242,18.686
항공사진 비공개 기준이 궁금합니다.,,"핵심: 항공사진이 ""비공개""로 분류되는 기준은 일반인의 출입이 통제되는 국가보안시설 및 군사시설(휴전선 접경지역 내 시설 포함)이 노출된 사진·영상 및 3차원 입체자료입니다. 참고로, 해당 시설들이 삭제된 흔적이 남아 있는 경우에는 ""공개제한""으로 분류됩니다. 또한 ""비공개"" 또는 ""공개제한""에 해당하는 항공사진은 관리대장에 기록하여 관리해야 합니다.",,공간정보보안업무예규_0065|공간정보보안업무예규_0040|공간정보보안업무예규_0041,"공간정보보안업무예규 제22조 [공간정보보안업무예규_0040]
공간정보보안업무예규 별표 1 - 국가공간정보 세부 분류기준 [공간정보보안업무예규_0065]","1. 공간정보보안업무예규_0040 (공간정보보안업무예규)
2. 공간정보보안업무예규_0049 (공간정보보안업무예규)
3. 공간정보보안업무예규_0041 (공간정보보안업무예규)
4. 공간정보보안업무예규_0045 (공간정보보안업무예규)
5. 공간정보보안업무예규_0065 (공간정보보안업무예규)","공간정보보안업무예규_0039 (chunk_no=39)
공간정보보안업무예규_0040 (chunk_no=40)
공간정보보안업무예규_0041 (chunk_no=41)
공간정보보안업무예규_0048 (chunk_no=48)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0042 (chunk_no=42)
공간정보보안업무예규_0044 (chunk_no=44)
공간정보보안업무예규_0045 (chunk_no=45)
공간정보보안업무예규_0046 (chunk_no=46)
공간정보보안업무예규_0064 (chunk_no=64)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)",3.39,12.766,16.157
비공개 공간정보를 공개하여야하는 피치못할 상황이면 어떡하나요?,,핵심: 비공개 공간정보는 원칙적으로 공개할 수 없습니다. 다만 공개할 필요성이 있는 경우에는 공개할 자료의 내용과 공개 목적·시기 및 방법 등에 대해 주무부장관의 승인을 받아야 합니다. 또한 비공개로 분류된 공간정보라도 기간 경과 등으로 비공개의 필요성이 없어지면 공개 대상으로 재분류될 수 있습니다. 구체적인 승인 절차·서류·담당 창구 등은 제공된 문서만으로는 확인하기 어렵습니다.,,공간정보보안업무예규_0036|공간정보보안업무예규_0037,"공간정보보안업무예규 제19조 [공간정보보안업무예규_0036]
공간정보보안업무예규 제20조 [공간정보보안업무예규_0037]","1. 공간정보보안업무예규_0036 (공간정보보안업무예규)
2. 공간정보보안업무예규_0068 (공간정보보안업무예규)
3. 공간정보보안업무예규_0014 (공간정보보안업무예규)
4. 공간정보보안업무예규_0066 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)","공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)",3.48,13.944,17.426
안전지출 장소를 변경할 수 있나요?,,"핵심: 문의하신 ""안전지출 장소""가 시설의 보호구역(보호지역·제한구역·통제구역)을 의미한다면 변경이 가능합니다. 보안담당관은 필요하다고 인정할 때 보호구역을 조정·추가·폐지할 수 있습니다. 다만, 사용하신 용어가 보호구역을 가리키는지 명확하지 않아 확답하기 어렵습니다. 제공된 문서만으로는 확인하기 어렵습니다. 의미가 보호구역인지 또는 다른 항목(예: 비용 지출 장소 등)을 뜻하는지 명확히 알려주시면 관련 규정에 따라 다시 답변드리겠습니다.",,보안업무예규_0117|보안업무예규_0118,보안업무예규 제43조 [보안업무예규_0117],"1. 여비규정_0026 (여비규정)
2. 복무규정_0024 (복무규정)
3. 여비규정_0027 (여비규정)
4. 여비규정_0034 (여비규정)
5. 보안업무예규_0118 (보안업무예규)","여비규정_0025 (chunk_no=25)
여비규정_0026 (chunk_no=26)
여비규정_0027 (chunk_no=27)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
여비규정_0028 (chunk_no=28)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
보안업무예규_0117 (chunk_no=117)
보안업무예규_0118 (chunk_no=118)
보안업무예규_0119 (chunk_no=119)",3.528,13.179,16.712
"비공개 공간정보의 기간이 경과되었는데, 공개해도 되나요?",,"핵심 요약: 기간 경과로 비공개 처분의 필요성이 없어졌다면 재분류하여 공개 대상으로 할 수 있으나, 비공개 공간정보는 원칙적으로 공개할 수 없고(제19조) 공개하려면 주무부장관의 승인을 받아야 합니다. 또한 ‘비밀’로 분류된 정보는 별도의 보안업무규정에 따라 재분류해야 합니다. 재분류 시에는 공간정보관리대장 등에 기록하고(세부 분류기준에 따름), 복제·제공 등은 관리기관장의 허가 절차를 따라야 합니다.",,공간정보보안업무예규_0037|공간정보보안업무예규_0036|공간정보보안업무예규_0038|공간정보보안업무예규_0015|공간정보보안업무예규_0023,"공간정보보안업무예규 제19조 [공간정보보안업무예규_0036]
공간정보보안업무예규 제20조 [공간정보보안업무예규_0037]
공간정보보안업무예규 제8조 [공간정보보안업무예규_0015]
공간정보보안업무예규 제12조 [공간정보보안업무예규_0023]","1. 공간정보보안업무예규_0037 (공간정보보안업무예규)
2. 공간정보보안업무예규_0036 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0014 (공간정보보안업무예규)
5. 공간정보보안업무예규_0023 (공간정보보안업무예규)","공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0037 (chunk_no=37)
공간정보보안업무예규_0038 (chunk_no=38)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0013 (chunk_no=13)
공간정보보안업무예규_0014 (chunk_no=14)
공간정보보안업무예규_0015 (chunk_no=15)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)",3.728,16.107,19.84
